"benchmark_mode","mode","model","prompt","repeat_index","log_file","ran_this_time","run_start","run_end","total_duration_s","load_duration_s","prompt_eval_count","prompt_eval_duration_s","prompt_eval_rate_tps","eval_count","eval_duration_s","eval_rate_tps","gpu_mem_max_mb","gpu_mem_min_mb","gpu_util_max_pct","gpu_util_mean_pct","gpu_power_max_w","gpu_power_mean_w","gpu_temp_max_c","gpu_samples","parse_warnings"
"steady","5090-pcie-steady-x6","mistral:7b","A","1","C:\ollama-tests\logs\20251226-194757-5090-pcie-steady-x6\mistral_7b\A-r01-5090-pcie-steady-x6-mistral_7b.txt","True","2025-12-26T19:48:03.5950872-08:00","2025-12-26T19:48:05.0265176-08:00","1.383928","0.011075400000000001","21","0.0048415","4337.5","351","0.5190026","676.3","5380","5380","93","93","436","436","52","1",""
"steady","5090-pcie-steady-x6","mistral:7b","B","1","C:\ollama-tests\logs\20251226-194757-5090-pcie-steady-x6\mistral_7b\B-r01-5090-pcie-steady-x6-mistral_7b.txt","True","2025-12-26T19:48:05.0664920-08:00","2025-12-26T19:48:07.4772228-08:00","2.3679218","0.0110092","33","0.0104656","3153.19","601","1.30125","461.86","5380","5380","92","76.5","462","444.5","53","2",""
"steady","5090-pcie-steady-x6","mistral:7b","C","1","C:\ollama-tests\logs\20251226-194757-5090-pcie-steady-x6\mistral_7b\C-r01-5090-pcie-steady-x6-mistral_7b.txt","True","2025-12-26T19:48:07.4903975-08:00","2025-12-26T19:48:09.3444320-08:00","1.760352","0.0105082","4096","0.2960315","13836.37","335","0.7822109","428.27","5380","5380","93","93","474","474","55","1",""
"steady","5090-pcie-steady-x6","mistral:7b","D","1","C:\ollama-tests\logs\20251226-194757-5090-pcie-steady-x6\mistral_7b\D-r01-5090-pcie-steady-x6-mistral_7b.txt","True","2025-12-26T19:48:09.3506897-08:00","2025-12-26T19:48:11.6785020-08:00","2.2832721","0.0112444","34","0.0105176","3232.68","578","1.1557757","500.1","5380","5380","93","93","485","456.5","55","2",""
"steady","5090-pcie-steady-x6","mistral:7b","A","2","C:\ollama-tests\logs\20251226-194757-5090-pcie-steady-x6\mistral_7b\A-r02-5090-pcie-steady-x6-mistral_7b.txt","True","2025-12-26T19:48:11.7002665-08:00","2025-12-26T19:48:12.9591090-08:00","1.2123183","0.011143499999999999","21","0.009763899999999999","2150.78","306","0.4642171","659.17","5380","5380","92","87","464","450.5","56","2",""
"steady","5090-pcie-steady-x6","mistral:7b","B","2","C:\ollama-tests\logs\20251226-194757-5090-pcie-steady-x6\mistral_7b\B-r02-5090-pcie-steady-x6-mistral_7b.txt","True","2025-12-26T19:48:12.9837360-08:00","2025-12-26T19:48:15.6651594-08:00","2.6343707","0.0111092","33","0.0104316","3163.46","668","1.1062924","603.82","5380","5380","93","92.5","469","450.5","57","2",""
"steady","5090-pcie-steady-x6","mistral:7b","C","2","C:\ollama-tests\logs\20251226-194757-5090-pcie-steady-x6\mistral_7b\C-r02-5090-pcie-steady-x6-mistral_7b.txt","True","2025-12-26T19:48:15.6797776-08:00","2025-12-26T19:48:17.7710134-08:00","2.0067927","0.0115974","4096","0.2641397","15506.95","393","0.7085710000000001","554.64","5380","5380","93","81","486","473.5","57","2",""
"steady","5090-pcie-steady-x6","mistral:7b","D","2","C:\ollama-tests\logs\20251226-194757-5090-pcie-steady-x6\mistral_7b\D-r02-5090-pcie-steady-x6-mistral_7b.txt","True","2025-12-26T19:48:17.7780972-08:00","2025-12-26T19:48:20.1601946-08:00","2.3382626","0.012302","34","0.010084","3371.68","592","0.9966084","594.01","5380","5380","93","93","488","478.5","57","2",""
"steady","5090-pcie-steady-x6","mistral:7b","A","3","C:\ollama-tests\logs\20251226-194757-5090-pcie-steady-x6\mistral_7b\A-r03-5090-pcie-steady-x6-mistral_7b.txt","True","2025-12-26T19:48:20.1744001-08:00","2025-12-26T19:48:21.1951792-08:00","0.9769260000000001","0.0117543","21","0.0103329","2032.34","245","0.4988533","491.13","5380","5380","62","62","459","459","54","1",""
"steady","5090-pcie-steady-x6","mistral:7b","B","3","C:\ollama-tests\logs\20251226-194757-5090-pcie-steady-x6\mistral_7b\B-r03-5090-pcie-steady-x6-mistral_7b.txt","True","2025-12-26T19:48:21.2099242-08:00","2025-12-26T19:48:23.4139909-08:00","2.1569699","0.0125396","33","0.009754200000000001","3383.16","546","0.9099311","600.05","5380","5380","92","92","441","439.5","58","2",""
"steady","5090-pcie-steady-x6","mistral:7b","C","3","C:\ollama-tests\logs\20251226-194757-5090-pcie-steady-x6\mistral_7b\C-r03-5090-pcie-steady-x6-mistral_7b.txt","True","2025-12-26T19:48:23.4301572-08:00","2025-12-26T19:48:25.0277558-08:00","1.5329367","0.011571099999999999","4096","0.27711290000000005","14780.98","282","0.4888819","576.83","5380","5380","93","92.5","481","475.5","59","2",""
"steady","5090-pcie-steady-x6","mistral:7b","D","3","C:\ollama-tests\logs\20251226-194757-5090-pcie-steady-x6\mistral_7b\D-r03-5090-pcie-steady-x6-mistral_7b.txt","True","2025-12-26T19:48:25.0421113-08:00","2025-12-26T19:48:27.9851067-08:00","2.9007687","0.0117708","34","0.0110864","3066.82","734","1.195354","614.04","5380","5380","93","93","472","463.3","59","3",""
"steady","5090-pcie-steady-x6","phi4:14b","A","1","C:\ollama-tests\logs\20251226-194757-5090-pcie-steady-x6\phi4_14b\A-r01-5090-pcie-steady-x6-phi4_14b.txt","True","2025-12-26T19:48:38.3670647-08:00","2025-12-26T19:48:40.3270512-08:00","1.9034429","0.0401443","26","0.0092688","2805.11","265","1.1317343","234.15","15427","15427","93","92.5","523","522.5","62","2",""
"steady","5090-pcie-steady-x6","phi4:14b","B","1","C:\ollama-tests\logs\20251226-194757-5090-pcie-steady-x6\phi4_14b\B-r01-5090-pcie-steady-x6-phi4_14b.txt","True","2025-12-26T19:48:40.3417854-08:00","2025-12-26T19:48:45.5955053-08:00","5.196114","0.040696399999999994","37","0.0159859","2314.54","730","2.7867124","261.96","15427","15427","93","92.6","527","514.8","64","5",""
"steady","5090-pcie-steady-x6","phi4:14b","C","1","C:\ollama-tests\logs\20251226-194757-5090-pcie-steady-x6\phi4_14b\C-r01-5090-pcie-steady-x6-phi4_14b.txt","True","2025-12-26T19:48:45.6169779-08:00","2025-12-26T19:48:49.5627995-08:00","3.8553158","0.041585500000000004","4096","0.5079357","8064.01","433","1.3314587","325.21","15427","15427","93","71.2","548","531","65","4",""
"steady","5090-pcie-steady-x6","phi4:14b","D","1","C:\ollama-tests\logs\20251226-194757-5090-pcie-steady-x6\phi4_14b\D-r01-5090-pcie-steady-x6-phi4_14b.txt","True","2025-12-26T19:48:49.5825130-08:00","2025-12-26T19:48:56.6012536-08:00","6.9544557","0.040609099999999995","39","0.0116076","3359.87","976","3.1433751","310.49","15427","15427","93","92.8","534","521","66","6",""
"steady","5090-pcie-steady-x6","phi4:14b","A","2","C:\ollama-tests\logs\20251226-194757-5090-pcie-steady-x6\phi4_14b\A-r02-5090-pcie-steady-x6-phi4_14b.txt","True","2025-12-26T19:48:56.6366429-08:00","2025-12-26T19:48:58.8351491-08:00","2.1370427","0.041975900000000003","26","0.013853899999999999","1876.73","297","1.0511904","282.54","15427","15427","93","49.5","496","482","66","2",""
"steady","5090-pcie-steady-x6","phi4:14b","B","2","C:\ollama-tests\logs\20251226-194757-5090-pcie-steady-x6\phi4_14b\B-r02-5090-pcie-steady-x6-phi4_14b.txt","True","2025-12-26T19:48:58.8559349-08:00","2025-12-26T19:49:04.1525349-08:00","5.2335192","0.040902900000000006","37","0.0134439","2752.18","735","2.3061819","318.71","15427","15427","93","92.8","534","519.8","68","5",""
"steady","5090-pcie-steady-x6","phi4:14b","C","2","C:\ollama-tests\logs\20251226-194757-5090-pcie-steady-x6\phi4_14b\C-r02-5090-pcie-steady-x6-phi4_14b.txt","True","2025-12-26T19:49:04.1751456-08:00","2025-12-26T19:49:08.1603157-08:00","3.8936221","0.0411616","4096","0.5133758","7978.56","438","1.4006811","312.71","15427","15427","93","83","551","532.2","69","4",""
"steady","5090-pcie-steady-x6","phi4:14b","D","2","C:\ollama-tests\logs\20251226-194757-5090-pcie-steady-x6\phi4_14b\D-r02-5090-pcie-steady-x6-phi4_14b.txt","True","2025-12-26T19:49:08.1736853-08:00","2025-12-26T19:49:15.7770055-08:00","7.5414834","0.042699","39","0.015229699999999999","2560.79","1058","4.6726738","226.42","15427","15427","93","92.7","541","527.4","69","7",""
"steady","5090-pcie-steady-x6","phi4:14b","A","3","C:\ollama-tests\logs\20251226-194757-5090-pcie-steady-x6\phi4_14b\A-r03-5090-pcie-steady-x6-phi4_14b.txt","True","2025-12-26T19:49:15.8004604-08:00","2025-12-26T19:49:18.0527774-08:00","2.1915808","0.040648899999999995","26","0.0136663","1902.49","305","1.5320838","199.08","15427","15427","93","92.5","535","506","70","2",""
"steady","5090-pcie-steady-x6","phi4:14b","B","3","C:\ollama-tests\logs\20251226-194757-5090-pcie-steady-x6\phi4_14b\B-r03-5090-pcie-steady-x6-phi4_14b.txt","True","2025-12-26T19:49:18.0745007-08:00","2025-12-26T19:49:23.6460510-08:00","5.5080261","0.0528647","37","0.0146909","2518.57","772","4.1296567","186.94","15427","15427","93","74.4","541","517.2","70","5",""
"steady","5090-pcie-steady-x6","phi4:14b","C","3","C:\ollama-tests\logs\20251226-194757-5090-pcie-steady-x6\phi4_14b\C-r03-5090-pcie-steady-x6-phi4_14b.txt","True","2025-12-26T19:49:23.6711410-08:00","2025-12-26T19:49:27.7634715-08:00","4.0008372","0.042261","4096","0.5067208999999999","8083.35","452","2.1270434","212.5","15427","15427","93","82","556","535.5","71","4",""
"steady","5090-pcie-steady-x6","phi4:14b","D","3","C:\ollama-tests\logs\20251226-194757-5090-pcie-steady-x6\phi4_14b\D-r03-5090-pcie-steady-x6-phi4_14b.txt","True","2025-12-26T19:49:27.7863648-08:00","2025-12-26T19:49:35.8177112-08:00","7.9747042","0.0408087","39","0.014250400000000002","2736.77","1119","3.7616072","297.48","15427","15427","93","92.9","556","544.2","72","8",""
"steady","5090-pcie-steady-x6","llama3.2","A","1","C:\ollama-tests\logs\20251226-194757-5090-pcie-steady-x6\llama3.2\A-r01-5090-pcie-steady-x6-llama3.2.txt","True","2025-12-26T19:49:40.4002185-08:00","2025-12-26T19:49:41.3333797-08:00","0.8599972","0.0758967","41","0.0074271","5520.32","289","0.5545356","521.16","18708","18708","78","78","333","333","64","1",""
"steady","5090-pcie-steady-x6","llama3.2","B","1","C:\ollama-tests\logs\20251226-194757-5090-pcie-steady-x6\llama3.2\B-r01-5090-pcie-steady-x6-llama3.2.txt","True","2025-12-26T19:49:41.3738942-08:00","2025-12-26T19:49:42.2713764-08:00","0.8202185","0.07601269999999999","52","0.0380546","1366.46","264","0.5209648","506.75","18708","18708","79","79","319","319","64","1",""
"steady","5090-pcie-steady-x6","llama3.2","C","1","C:\ollama-tests\logs\20251226-194757-5090-pcie-steady-x6\llama3.2\C-r01-5090-pcie-steady-x6-llama3.2.txt","True","2025-12-26T19:49:42.2953958-08:00","2025-12-26T19:49:43.7177359-08:00","1.3266463","0.075942","4096","0.1580635","25913.64","363","0.7333149","495.01","18708","18708","80","80","372","372","66","1",""
"steady","5090-pcie-steady-x6","llama3.2","D","1","C:\ollama-tests\logs\20251226-194757-5090-pcie-steady-x6\llama3.2\D-r01-5090-pcie-steady-x6-llama3.2.txt","True","2025-12-26T19:49:43.7349331-08:00","2025-12-26T19:49:46.3772722-08:00","2.5603469","0.07537869999999999","54","0.0113221","4769.43","921","1.6349334","563.33","18708","18708","79","78.5","385","364.5","66","2",""
"steady","5090-pcie-steady-x6","llama3.2","A","2","C:\ollama-tests\logs\20251226-194757-5090-pcie-steady-x6\llama3.2\A-r02-5090-pcie-steady-x6-llama3.2.txt","True","2025-12-26T19:49:46.4034222-08:00","2025-12-26T19:49:47.1338990-08:00","0.6578618","0.07458820000000001","41","0.0102062","4017.17","214","0.3892326","549.8","18708","18708","80","80","389","389","66","1",""
"steady","5090-pcie-steady-x6","llama3.2","B","2","C:\ollama-tests\logs\20251226-194757-5090-pcie-steady-x6\llama3.2\B-r02-5090-pcie-steady-x6-llama3.2.txt","True","2025-12-26T19:49:47.1581326-08:00","2025-12-26T19:49:48.4309383-08:00","1.1970849","0.0763212","52","0.0079335","6554.48","416","0.8002349000000001","519.85","18708","18708","38","38","323","323","62","1",""
"steady","5090-pcie-steady-x6","llama3.2","C","2","C:\ollama-tests\logs\20251226-194757-5090-pcie-steady-x6\llama3.2\C-r02-5090-pcie-steady-x6-llama3.2.txt","True","2025-12-26T19:49:48.4586407-08:00","2025-12-26T19:49:49.8868020-08:00","1.3342897","0.0774372","4096","0.148398","27601.45","365","0.7399118","493.3","18708","18708","81","79.5","368","355.5","66","2",""
"steady","5090-pcie-steady-x6","llama3.2","D","2","C:\ollama-tests\logs\20251226-194757-5090-pcie-steady-x6\llama3.2\D-r02-5090-pcie-steady-x6-llama3.2.txt","True","2025-12-26T19:49:49.9061449-08:00","2025-12-26T19:49:52.7250383-08:00","2.7406312","0.0760416","54","0.010198800000000001","5294.74","988","1.8413295","536.57","18708","18708","79","79","386","365","66","2",""
"steady","5090-pcie-steady-x6","llama3.2","A","3","C:\ollama-tests\logs\20251226-194757-5090-pcie-steady-x6\llama3.2\A-r03-5090-pcie-steady-x6-llama3.2.txt","True","2025-12-26T19:49:52.7549391-08:00","2025-12-26T19:49:53.6115317-08:00","0.7806999","0.07478560000000001","41","0.007205199999999999","5690.33","261","0.5182178000000001","503.65","18708","18708","78","78","389","389","66","1",""
"steady","5090-pcie-steady-x6","llama3.2","B","3","C:\ollama-tests\logs\20251226-194757-5090-pcie-steady-x6\llama3.2\B-r03-5090-pcie-steady-x6-llama3.2.txt","True","2025-12-26T19:49:53.6367148-08:00","2025-12-26T19:49:55.1342780-08:00","1.4216567","0.0770325","52","0.0104596","4971.51","498","0.9638321999999999","516.69","18708","18708","79","49","332","319","65","2",""
"steady","5090-pcie-steady-x6","llama3.2","C","3","C:\ollama-tests\logs\20251226-194757-5090-pcie-steady-x6\llama3.2\C-r03-5090-pcie-steady-x6-llama3.2.txt","True","2025-12-26T19:49:55.1628076-08:00","2025-12-26T19:49:56.4822494-08:00","1.2138175","0.0760485","4096","0.1460919","28037.15","325","0.6028889000000001","539.07","18708","18708","80","80","358","358","66","1",""
"steady","5090-pcie-steady-x6","llama3.2","D","3","C:\ollama-tests\logs\20251226-194757-5090-pcie-steady-x6\llama3.2\D-r03-5090-pcie-steady-x6-llama3.2.txt","True","2025-12-26T19:49:56.5006573-08:00","2025-12-26T19:50:00.4613258-08:00","3.8890326","0.0757783","54","0.01109","4869.25","1409","2.5167148","559.86","18708","18708","80","65.5","391","377.8","65","4",""
